,Date,Time,NOx.GT,PT08.S3.NOx,NO2.GT,PT08.S4.NO2,T,RH,AH
0,10/03/2004,18.00.00,166.0,1056.0,113.0,1692.0,13.6,48.9,0.7578
1,10/03/2004,19.00.00,103.0,1174.0,92.0,1559.0,13.3,47.7,0.7255
2,10/03/2004,20.00.00,131.0,1140.0,114.0,1555.0,11.9,54.0,0.7502
3,10/03/2004,21.00.00,172.0,1092.0,122.0,1584.0,11.0,60.0,0.7867
4,10/03/2004,22.00.00,131.0,1205.0,116.0,1490.0,11.2,59.6,0.7888
5,10/03/2004,23.00.00,89.0,1337.0,96.0,1393.0,11.2,59.2,0.7848
6,11/03/2004,00.00.00,62.0,1462.0,77.0,1333.0,11.3,56.8,0.7603
7,11/03/2004,01.00.00,62.0,1453.0,76.0,1333.0,10.7,60.0,0.7702
8,11/03/2004,02.00.00,45.0,1579.0,60.0,1276.0,10.7,59.7,0.7648
9,11/03/2004,03.00.00,-200.0,1705.0,-200.0,1235.0,10.3,60.2,0.7517
10,11/03/2004,04.00.00,21.0,1818.0,34.0,1197.0,10.1,60.5,0.7465
11,11/03/2004,05.00.00,16.0,1918.0,28.0,1182.0,11.0,56.2,0.7366
12,11/03/2004,06.00.00,34.0,1738.0,48.0,1221.0,10.5,58.1,0.7353
13,11/03/2004,07.00.00,98.0,1490.0,82.0,1339.0,10.2,59.6,0.7417
14,11/03/2004,08.00.00,174.0,1136.0,112.0,1517.0,10.8,57.4,0.7408
15,11/03/2004,09.00.00,129.0,1079.0,101.0,1583.0,10.5,60.6,0.7691
16,11/03/2004,10.00.00,112.0,1218.0,98.0,1446.0,10.8,58.4,0.7552
17,11/03/2004,11.00.00,95.0,1328.0,92.0,1362.0,10.5,57.9,0.7352
18,11/03/2004,12.00.00,104.0,1301.0,95.0,1401.0,9.5,66.8,0.7951
19,11/03/2004,13.00.00,146.0,1162.0,112.0,1537.0,8.3,76.4,0.8393
20,11/03/2004,14.00.00,207.0,983.0,128.0,1730.0,8.0,81.1,0.8736
21,11/03/2004,15.00.00,184.0,1082.0,126.0,1647.0,8.3,79.8,0.8778
22,11/03/2004,16.00.00,193.0,1103.0,131.0,1591.0,9.7,71.2,0.8569
23,11/03/2004,17.00.00,243.0,1008.0,135.0,1719.0,9.8,67.6,0.8185
24,11/03/2004,18.00.00,281.0,799.0,151.0,2083.0,10.3,64.2,0.8065
25,11/03/2004,19.00.00,383.0,702.0,172.0,2333.0,9.7,69.3,0.8319
26,11/03/2004,20.00.00,351.0,743.0,165.0,2191.0,9.6,67.8,0.8133
27,11/03/2004,21.00.00,240.0,957.0,136.0,1707.0,9.1,64.0,0.7419
28,11/03/2004,22.00.00,94.0,1325.0,85.0,1333.0,8.2,63.4,0.6905
29,11/03/2004,23.00.00,47.0,1565.0,53.0,1252.0,8.2,60.8,0.6657
30,12/03/2004,00.00.00,122.0,1254.0,97.0,1375.0,8.3,58.5,0.6438
31,12/03/2004,01.00.00,133.0,1247.0,110.0,1378.0,7.7,59.7,0.6308
32,12/03/2004,02.00.00,82.0,1396.0,91.0,1304.0,7.1,61.8,0.6276
33,12/03/2004,03.00.00,-200.0,1680.0,-200.0,1187.0,7.0,62.3,0.6261
34,12/03/2004,04.00.00,21.0,1893.0,32.0,1134.0,6.1,65.9,0.6248
35,12/03/2004,05.00.00,30.0,1895.0,44.0,1155.0,6.3,65.0,0.6233
36,12/03/2004,06.00.00,56.0,1685.0,71.0,1223.0,6.8,62.9,0.6234
37,12/03/2004,07.00.00,109.0,1387.0,104.0,1361.0,6.4,65.1,0.6316
38,12/03/2004,08.00.00,307.0,897.0,141.0,1900.0,7.3,63.1,0.6499
39,12/03/2004,09.00.00,-200.0,767.0,-200.0,2058.0,9.2,56.2,0.6561
40,12/03/2004,10.00.00,187.0,912.0,122.0,1712.0,13.2,41.7,0.632
41,12/03/2004,11.00.00,216.0,969.0,143.0,1598.0,14.3,38.4,0.6243
42,12/03/2004,12.00.00,143.0,1035.0,113.0,1537.0,15.0,36.5,0.6195
43,12/03/2004,13.00.00,160.0,1008.0,116.0,1593.0,16.1,34.5,0.6262
44,12/03/2004,14.00.00,163.0,949.0,123.0,1660.0,16.3,35.7,0.656
45,12/03/2004,15.00.00,190.0,922.0,126.0,1740.0,15.8,37.0,0.661
46,12/03/2004,16.00.00,178.0,954.0,120.0,1657.0,15.9,37.2,0.6657
47,12/03/2004,17.00.00,150.0,1006.0,119.0,1610.0,16.9,34.3,0.6549
48,12/03/2004,18.00.00,206.0,812.0,149.0,1910.0,15.1,39.6,0.6766
49,12/03/2004,19.00.00,202.0,821.0,145.0,1847.0,14.4,43.4,0.7084
50,12/03/2004,20.00.00,340.0,624.0,170.0,2390.0,12.9,50.5,0.7478
51,12/03/2004,21.00.00,274.0,752.0,149.0,1941.0,12.1,53.3,0.7536
52,12/03/2004,22.00.00,253.0,839.0,139.0,1723.0,11.0,59.1,0.774
53,12/03/2004,23.00.00,300.0,741.0,134.0,2062.0,9.7,64.6,0.7771
54,13/03/2004,00.00.00,193.0,963.0,113.0,1544.0,9.5,64.1,0.7597
55,13/03/2004,01.00.00,139.0,1071.0,97.0,1463.0,9.1,63.9,0.7423
56,13/03/2004,02.00.00,83.0,1176.0,82.0,1365.0,8.8,63.9,0.7256
57,13/03/2004,03.00.00,-200.0,1179.0,-200.0,1380.0,7.8,67.5,0.7173
58,13/03/2004,04.00.00,109.0,1132.0,83.0,1412.0,7.0,71.1,0.7158
59,13/03/2004,05.00.00,62.0,1420.0,65.0,1274.0,8.3,63.6,0.6982
60,13/03/2004,06.00.00,53.0,1406.0,60.0,1268.0,7.2,67.5,0.6887
61,13/03/2004,07.00.00,139.0,1228.0,77.0,1409.0,6.3,71.9,0.6932
62,13/03/2004,08.00.00,256.0,935.0,96.0,1678.0,6.5,71.6,0.6945
63,13/03/2004,09.00.00,295.0,830.0,119.0,1777.0,9.6,59.7,0.7124
64,13/03/2004,10.00.00,250.0,869.0,126.0,1667.0,12.4,51.2,0.7335
65,13/03/2004,11.00.00,296.0,808.0,158.0,1780.0,15.6,42.2,0.7451
66,13/03/2004,12.00.00,239.0,875.0,161.0,1679.0,18.4,33.8,0.709
67,13/03/2004,13.00.00,153.0,987.0,124.0,1600.0,19.4,31.3,0.695
68,13/03/2004,14.00.00,118.0,1088.0,102.0,1488.0,18.0,34.8,0.7127
69,13/03/2004,15.00.00,119.0,1049.0,116.0,1532.0,18.4,33.6,0.7042
70,13/03/2004,16.00.00,138.0,1004.0,124.0,1554.0,17.6,35.1,0.7012
71,13/03/2004,17.00.00,148.0,976.0,125.0,1602.0,16.7,37.8,0.7117
72,13/03/2004,18.00.00,227.0,831.0,148.0,1779.0,16.1,41.0,0.7451
73,13/03/2004,19.00.00,277.0,758.0,165.0,1922.0,15.8,42.4,0.7569
74,13/03/2004,20.00.00,279.0,754.0,161.0,1915.0,15.7,44.1,0.7786
75,13/03/2004,21.00.00,283.0,762.0,159.0,1860.0,15.3,46.8,0.8091
76,13/03/2004,22.00.00,214.0,844.0,143.0,1748.0,14.6,48.6,0.806
77,13/03/2004,23.00.00,172.0,892.0,130.0,1603.0,14.7,49.3,0.8193
78,14/03/2004,00.00.00,190.0,889.0,129.0,1611.0,13.9,53.6,0.8498
79,14/03/2004,01.00.00,174.0,880.0,119.0,1624.0,14.6,51.5,0.8536
80,14/03/2004,02.00.00,128.0,953.0,104.0,1543.0,12.5,58.9,0.8537
81,14/03/2004,03.00.00,-200.0,921.0,-200.0,1620.0,11.6,63.4,0.8674
82,14/03/2004,04.00.00,70.0,1130.0,82.0,1452.0,12.1,61.1,0.8603
83,14/03/2004,05.00.00,53.0,1272.0,70.0,1377.0,11.5,63.1,0.8533
84,14/03/2004,06.00.00,44.0,1395.0,63.0,1333.0,11.6,62.2,0.8473
85,14/03/2004,07.00.00,74.0,1384.0,67.0,1340.0,10.4,67.6,0.853
86,14/03/2004,08.00.00,101.0,1225.0,84.0,1414.0,11.6,62.7,0.853
87,14/03/2004,09.00.00,118.0,1055.0,83.0,1527.0,12.4,60.0,0.8627
88,14/03/2004,10.00.00,144.0,952.0,98.0,1614.0,14.5,53.1,0.8728
89,14/03/2004,11.00.00,176.0,878.0,114.0,1696.0,16.9,46.1,0.8789
90,14/03/2004,12.00.00,161.0,907.0,119.0,1677.0,19.3,38.3,0.8474
91,14/03/2004,13.00.00,113.0,1084.0,104.0,1525.0,21.2,31.4,0.7812
92,14/03/2004,14.00.00,103.0,1104.0,102.0,1490.0,21.4,30.2,0.7616
93,14/03/2004,15.00.00,112.0,1081.0,107.0,1511.0,21.9,29.0,0.7525
94,14/03/2004,16.00.00,170.0,974.0,129.0,1646.0,22.2,28.4,0.7516
95,14/03/2004,17.00.00,180.0,943.0,128.0,1668.0,21.3,30.8,0.7696
96,14/03/2004,18.00.00,160.0,929.0,121.0,1671.0,19.7,36.7,0.8307
97,14/03/2004,19.00.00,261.0,753.0,157.0,1993.0,18.4,41.7,0.8732
98,14/03/2004,20.00.00,325.0,681.0,173.0,2103.0,17.6,46.1,0.921
99,14/03/2004,21.00.00,217.0,784.0,146.0,1818.0,16.7,49.6,0.932
100,14/03/2004,22.00.00,146.0,924.0,121.0,1587.0,16.3,51.0,0.9341
101,14/03/2004,23.00.00,152.0,933.0,119.0,1617.0,14.7,55.9,0.9314
102,15/03/2004,00.00.00,104.0,985.0,99.0,1547.0,14.8,54.7,0.9164
103,15/03/2004,01.00.00,106.0,1010.0,93.0,1543.0,14.0,57.0,0.9094
104,15/03/2004,02.00.00,108.0,998.0,88.0,1566.0,13.4,61.3,0.9361
105,15/03/2004,03.00.00,-200.0,1128.0,-200.0,1487.0,12.6,63.5,0.923
106,15/03/2004,04.00.00,66.0,1150.0,71.0,1468.0,12.3,65.4,0.9351
107,15/03/2004,05.00.00,88.0,1156.0,74.0,1464.0,11.9,67.4,0.9375
108,15/03/2004,06.00.00,138.0,1030.0,80.0,1584.0,11.4,70.5,0.9475
109,15/03/2004,07.00.00,228.0,897.0,89.0,1710.0,11.3,70.2,0.9401
110,15/03/2004,08.00.00,360.0,652.0,114.0,2323.0,12.4,63.9,0.917
111,15/03/2004,09.00.00,478.0,537.0,149.0,2665.0,14.8,54.3,0.9076
112,15/03/2004,10.00.00,394.0,622.0,157.0,2262.0,17.4,45.6,0.8993
113,15/03/2004,11.00.00,319.0,710.0,155.0,2029.0,19.8,38.5,0.8801
114,15/03/2004,12.00.00,201.0,831.0,134.0,1783.0,22.0,34.1,0.8904
115,15/03/2004,13.00.00,171.0,830.0,119.0,1831.0,23.3,32.2,0.9096
116,15/03/2004,14.00.00,159.0,838.0,111.0,1829.0,23.9,30.0,0.8757
117,15/03/2004,15.00.00,153.0,926.0,104.0,1707.0,24.4,28.9,0.8736
118,15/03/2004,16.00.00,143.0,950.0,99.0,1675.0,24.4,29.4,0.8848
119,15/03/2004,17.00.00,156.0,857.0,110.0,1824.0,23.8,31.3,0.9137
120,15/03/2004,18.00.00,314.0,631.0,162.0,2447.0,22.5,35.4,0.9547
121,15/03/2004,19.00.00,404.0,542.0,187.0,2679.0,20.4,42.5,1.0086
122,15/03/2004,20.00.00,320.0,565.0,165.0,2443.0,18.3,52.6,1.0945
123,15/03/2004,21.00.00,256.0,678.0,145.0,2058.0,16.7,57.4,1.0786
124,15/03/2004,22.00.00,193.0,764.0,125.0,1856.0,15.7,60.2,1.0654
125,15/03/2004,23.00.00,89.0,1008.0,101.0,1547.0,15.3,61.4,1.058
126,16/03/2004,00.00.00,127.0,852.0,103.0,1731.0,14.1,65.7,1.0494
127,16/03/2004,01.00.00,79.0,1098.0,88.0,1483.0,14.8,60.6,1.0148
128,16/03/2004,02.00.00,43.0,1320.0,61.0,1386.0,14.8,59.2,0.9879
129,16/03/2004,03.00.00,-200.0,1376.0,-200.0,1364.0,13.6,62.1,0.9636
130,16/03/2004,04.00.00,59.0,1316.0,59.0,1373.0,12.3,66.2,0.945
131,16/03/2004,05.00.00,38.0,1412.0,52.0,1348.0,12.8,63.2,0.9283
132,16/03/2004,06.00.00,82.0,1246.0,64.0,1418.0,11.2,68.5,0.9081
133,16/03/2004,07.00.00,99.0,1162.0,70.0,1467.0,11.0,66.5,0.8705
134,16/03/2004,08.00.00,263.0,770.0,97.0,1889.0,11.7,63.7,0.8719
135,16/03/2004,09.00.00,229.0,698.0,95.0,2055.0,13.6,56.3,0.8743
136,16/03/2004,10.00.00,396.0,628.0,150.0,2211.0,17.8,42.9,0.8672
137,16/03/2004,11.00.00,314.0,730.0,162.0,1973.0,21.4,33.3,0.8417
138,16/03/2004,12.00.00,217.0,776.0,154.0,1868.0,24.4,27.4,0.8231
139,16/03/2004,13.00.00,252.0,724.0,161.0,1998.0,25.3,26.1,0.8264
140,16/03/2004,14.00.00,263.0,773.0,161.0,1897.0,25.8,23.2,0.7589
141,16/03/2004,15.00.00,180.0,893.0,128.0,1675.0,27.0,20.2,0.7094
142,16/03/2004,16.00.00,184.0,905.0,129.0,1759.0,28.2,18.6,0.7014
143,16/03/2004,17.00.00,190.0,898.0,133.0,1739.0,28.0,19.1,0.7098
144,16/03/2004,18.00.00,184.0,859.0,139.0,1778.0,23.9,25.7,0.7519
145,16/03/2004,19.00.00,181.0,800.0,137.0,1875.0,21.3,34.8,0.873
146,16/03/2004,20.00.00,166.0,854.0,143.0,1776.0,20.4,36.7,0.8704
147,16/03/2004,21.00.00,317.0,700.0,177.0,2106.0,19.0,41.3,0.9007
148,16/03/2004,22.00.00,184.0,818.0,138.0,1710.0,17.9,45.9,0.9342
149,16/03/2004,23.00.00,130.0,935.0,117.0,1560.0,16.7,48.9,0.9226
150,17/03/2004,00.00.00,132.0,922.0,107.0,1547.0,15.5,52.9,0.9271
151,17/03/2004,01.00.00,95.0,1066.0,90.0,1442.0,15.5,51.9,0.9059
152,17/03/2004,02.00.00,70.0,1169.0,79.0,1383.0,14.1,55.6,0.891
153,17/03/2004,03.00.00,-200.0,1292.0,-200.0,1332.0,13.1,57.9,0.8666
154,17/03/2004,04.00.00,54.0,1396.0,60.0,1303.0,12.7,57.9,0.8447
155,17/03/2004,05.00.00,28.0,1460.0,40.0,1268.0,11.8,58.0,0.8026
156,17/03/2004,06.00.00,46.0,1417.0,53.0,1289.0,11.9,57.4,0.7978
157,17/03/2004,07.00.00,160.0,1038.0,84.0,1556.0,9.9,65.2,0.7956
158,17/03/2004,08.00.00,320.0,702.0,108.0,1999.0,11.1,60.2,0.7958
159,17/03/2004,09.00.00,377.0,553.0,127.0,2535.0,14.1,50.0,0.802
160,17/03/2004,10.00.00,280.0,703.0,134.0,2026.0,17.7,40.1,0.8048
161,17/03/2004,11.00.00,221.0,819.0,135.0,1782.0,21.1,33.4,0.8265
162,17/03/2004,12.00.00,210.0,905.0,142.0,1654.0,24.3,28.3,0.8471
163,17/03/2004,13.00.00,204.0,861.0,153.0,1747.0,25.6,25.6,0.8254
164,17/03/2004,14.00.00,161.0,887.0,123.0,1712.0,25.9,25.9,0.8503
165,17/03/2004,15.00.00,135.0,1013.0,104.0,1520.0,26.8,18.7,0.65
166,17/03/2004,16.00.00,186.0,940.0,129.0,1679.0,29.3,15.8,0.6309
167,17/03/2004,17.00.00,147.0,1032.0,114.0,1525.0,28.5,14.9,0.5708
168,17/03/2004,18.00.00,299.0,793.0,158.0,1981.0,25.9,16.0,0.5237
169,17/03/2004,19.00.00,411.0,617.0,194.0,2414.0,23.1,26.5,0.7403
170,17/03/2004,20.00.00,347.0,597.0,182.0,2416.0,20.5,38.2,0.9133
171,17/03/2004,21.00.00,336.0,653.0,180.0,2174.0,19.1,42.6,0.9294
172,17/03/2004,22.00.00,202.0,770.0,136.0,1727.0,17.2,44.1,0.8558
173,17/03/2004,23.00.00,178.0,731.0,127.0,1778.0,16.0,50.9,0.9206
174,18/03/2004,00.00.00,154.0,796.0,116.0,1669.0,14.8,53.9,0.9024
175,18/03/2004,01.00.00,92.0,947.0,107.0,1502.0,14.3,55.4,0.8975
176,18/03/2004,02.00.00,61.0,1057.0,88.0,1407.0,14.8,52.1,0.8686
177,18/03/2004,03.00.00,-200.0,1196.0,-200.0,1351.0,13.9,53.9,0.8501
178,18/03/2004,04.00.00,60.0,1260.0,78.0,1334.0,11.6,61.9,0.8442
