Date,Hour,CO_GT,NOx_GT,Day,Month
2004-03-10,18.0,2.6,166.0,Wednesday,March
2004-03-10,19.0,2.0,103.0,Wednesday,March
2004-03-10,20.0,2.2,131.0,Wednesday,March
2004-03-10,21.0,2.2,172.0,Wednesday,March
2004-03-10,22.0,1.6,131.0,Wednesday,March
2004-03-10,23.0,1.2,89.0,Wednesday,March
2004-03-11,0.0,1.2,62.0,Thursday,March
2004-03-11,1.0,1.0,62.0,Thursday,March
2004-03-11,2.0,0.9,45.0,Thursday,March
2004-03-11,5.0,0.7,16.0,Thursday,March
2004-03-11,6.0,0.7,34.0,Thursday,March
2004-03-11,7.0,1.1,98.0,Thursday,March
2004-03-11,8.0,2.0,174.0,Thursday,March
2004-03-11,9.0,2.2,129.0,Thursday,March
2004-03-11,10.0,1.7,112.0,Thursday,March
2004-03-11,11.0,1.5,95.0,Thursday,March
2004-03-11,12.0,1.6,104.0,Thursday,March
2004-03-11,13.0,1.9,146.0,Thursday,March
2004-03-11,14.0,2.9,207.0,Thursday,March
2004-03-11,15.0,2.2,184.0,Thursday,March
2004-03-11,16.0,2.2,193.0,Thursday,March
2004-03-11,17.0,2.9,243.0,Thursday,March
2004-03-11,18.0,4.8,281.0,Thursday,March
2004-03-11,19.0,6.9,383.0,Thursday,March
2004-03-11,20.0,6.1,351.0,Thursday,March
2004-03-11,21.0,3.9,240.0,Thursday,March
2004-03-11,22.0,1.5,94.0,Thursday,March
2004-03-11,23.0,1.0,47.0,Thursday,March
2004-03-12,0.0,1.7,122.0,Friday,March
2004-03-12,1.0,1.9,133.0,Friday,March
2004-03-12,2.0,1.4,82.0,Friday,March
2004-03-12,5.0,0.6,30.0,Friday,March
2004-03-12,6.0,0.8,56.0,Friday,March
2004-03-12,7.0,1.4,109.0,Friday,March
2004-03-12,8.0,4.4,307.0,Friday,March
2004-03-12,10.0,3.1,187.0,Friday,March
2004-03-12,11.0,2.7,216.0,Friday,March
2004-03-12,12.0,2.1,143.0,Friday,March
2004-03-12,13.0,2.5,160.0,Friday,March
2004-03-12,14.0,2.7,163.0,Friday,March
2004-03-12,15.0,2.9,190.0,Friday,March
2004-03-12,16.0,2.8,178.0,Friday,March
2004-03-12,17.0,2.4,150.0,Friday,March
2004-03-12,18.0,3.9,206.0,Friday,March
2004-03-12,19.0,3.7,202.0,Friday,March
2004-03-12,20.0,6.6,340.0,Friday,March
2004-03-12,21.0,4.4,274.0,Friday,March
2004-03-12,22.0,3.5,253.0,Friday,March
2004-03-12,23.0,5.4,300.0,Friday,March
2004-03-13,0.0,2.7,193.0,Saturday,March
2004-03-13,1.0,1.9,139.0,Saturday,March
2004-03-13,2.0,1.6,83.0,Saturday,March
2004-03-13,5.0,1.0,62.0,Saturday,March
2004-03-13,6.0,1.2,53.0,Saturday,March
2004-03-13,7.0,1.5,139.0,Saturday,March
2004-03-13,8.0,2.7,256.0,Saturday,March
2004-03-13,9.0,3.7,295.0,Saturday,March
2004-03-13,10.0,3.2,250.0,Saturday,March
2004-03-13,11.0,4.1,296.0,Saturday,March
2004-03-13,12.0,3.6,239.0,Saturday,March
2004-03-13,13.0,2.8,153.0,Saturday,March
2004-03-13,14.0,2.0,118.0,Saturday,March
2004-03-13,15.0,2.0,119.0,Saturday,March
2004-03-13,16.0,2.5,138.0,Saturday,March
2004-03-13,17.0,2.3,148.0,Saturday,March
2004-03-13,18.0,3.2,227.0,Saturday,March
2004-03-13,19.0,4.2,277.0,Saturday,March
2004-03-13,20.0,4.2,279.0,Saturday,March
2004-03-13,21.0,4.2,283.0,Saturday,March
2004-03-13,22.0,3.1,214.0,Saturday,March
2004-03-13,23.0,2.6,172.0,Saturday,March
2004-03-14,0.0,2.9,190.0,Sunday,March
2004-03-14,1.0,2.8,174.0,Sunday,March
2004-03-14,2.0,2.5,128.0,Sunday,March
2004-03-14,5.0,1.2,53.0,Sunday,March
2004-03-14,6.0,1.0,44.0,Sunday,March
2004-03-14,7.0,0.9,74.0,Sunday,March
2004-03-14,8.0,1.4,101.0,Sunday,March
2004-03-14,9.0,1.6,118.0,Sunday,March
2004-03-14,10.0,2.2,144.0,Sunday,March
2004-03-14,11.0,2.8,176.0,Sunday,March
2004-03-14,12.0,2.8,161.0,Sunday,March
2004-03-14,13.0,2.0,113.0,Sunday,March
2004-03-14,14.0,1.8,103.0,Sunday,March
2004-03-14,15.0,1.9,112.0,Sunday,March
2004-03-14,16.0,3.0,170.0,Sunday,March
2004-03-14,17.0,2.9,180.0,Sunday,March
2004-03-14,18.0,2.5,160.0,Sunday,March
2004-03-14,19.0,4.6,261.0,Sunday,March
2004-03-14,20.0,5.9,325.0,Sunday,March
2004-03-14,21.0,3.4,217.0,Sunday,March
2004-03-14,22.0,2.1,146.0,Sunday,March
2004-03-14,23.0,2.2,152.0,Sunday,March
2004-03-15,0.0,1.8,104.0,Monday,March
2004-03-15,1.0,1.8,106.0,Monday,March
2004-03-15,2.0,1.8,108.0,Monday,March
2004-03-15,5.0,1.0,88.0,Monday,March
2004-03-15,6.0,1.4,138.0,Monday,March
2004-03-15,7.0,2.2,228.0,Monday,March
2004-03-15,8.0,5.5,360.0,Monday,March
2004-03-15,9.0,8.1,478.0,Monday,March
2004-03-15,10.0,5.8,394.0,Monday,March
2004-03-15,11.0,4.2,319.0,Monday,March
2004-03-15,12.0,3.1,201.0,Monday,March
2004-03-15,13.0,2.9,171.0,Monday,March
2004-03-15,14.0,2.9,159.0,Monday,March
2004-03-15,15.0,2.5,153.0,Monday,March
2004-03-15,16.0,2.3,143.0,Monday,March
2004-03-15,17.0,2.8,156.0,Monday,March
2004-03-15,18.0,6.1,314.0,Monday,March
2004-03-15,19.0,8.0,404.0,Monday,March
2004-03-15,20.0,6.5,320.0,Monday,March
2004-03-15,21.0,4.2,256.0,Monday,March
2004-03-15,22.0,3.2,193.0,Monday,March
2004-03-15,23.0,1.4,89.0,Monday,March
2004-03-16,0.0,2.1,127.0,Tuesday,March
2004-03-16,1.0,1.2,79.0,Tuesday,March
2004-03-16,2.0,0.8,43.0,Tuesday,March
2004-03-16,5.0,0.6,38.0,Tuesday,March
2004-03-16,6.0,0.9,82.0,Tuesday,March
2004-03-16,7.0,1.3,99.0,Tuesday,March
2004-03-16,8.0,3.4,263.0,Tuesday,March
2004-03-16,9.0,3.7,229.0,Tuesday,March
2004-03-16,10.0,5.3,396.0,Tuesday,March
2004-03-16,11.0,4.1,314.0,Tuesday,March
2004-03-16,12.0,3.3,217.0,Tuesday,March
2004-03-16,13.0,4.0,252.0,Tuesday,March
2004-03-16,14.0,3.8,263.0,Tuesday,March
2004-03-16,15.0,2.8,180.0,Tuesday,March
2004-03-16,16.0,2.9,184.0,Tuesday,March
2004-03-16,17.0,2.9,190.0,Tuesday,March
2004-03-16,18.0,3.4,184.0,Tuesday,March
2004-03-16,19.0,3.9,181.0,Tuesday,March
2004-03-16,20.0,3.2,166.0,Tuesday,March
2004-03-16,21.0,5.1,317.0,Tuesday,March
2004-03-16,22.0,2.6,184.0,Tuesday,March
2004-03-16,23.0,1.7,130.0,Tuesday,March
2004-03-17,0.0,1.7,132.0,Wednesday,March
2004-03-17,1.0,1.2,95.0,Wednesday,March
2004-03-17,2.0,0.9,70.0,Wednesday,March
2004-03-17,5.0,0.5,28.0,Wednesday,March
2004-03-17,6.0,0.5,46.0,Wednesday,March
2004-03-17,7.0,1.6,160.0,Wednesday,March
2004-03-17,8.0,4.1,320.0,Wednesday,March
2004-03-17,9.0,6.6,377.0,Wednesday,March
2004-03-17,10.0,4.3,280.0,Wednesday,March
2004-03-17,11.0,2.9,221.0,Wednesday,March
2004-03-17,12.0,2.5,210.0,Wednesday,March
2004-03-17,13.0,2.8,204.0,Wednesday,March
2004-03-17,14.0,2.6,161.0,Wednesday,March
2004-03-17,15.0,2.0,135.0,Wednesday,March
2004-03-17,16.0,2.9,186.0,Wednesday,March
2004-03-17,17.0,2.5,147.0,Wednesday,March
2004-03-17,18.0,5.0,299.0,Wednesday,March
2004-03-17,19.0,7.6,411.0,Wednesday,March
2004-03-17,20.0,6.7,347.0,Wednesday,March
2004-03-17,21.0,5.7,336.0,Wednesday,March
2004-03-17,22.0,2.8,202.0,Wednesday,March
2004-03-17,23.0,2.6,178.0,Wednesday,March
2004-03-18,0.0,2.3,154.0,Thursday,March
2004-03-18,1.0,1.4,92.0,Thursday,March
2004-03-18,2.0,1.0,61.0,Thursday,March
2004-03-18,5.0,0.6,37.0,Thursday,March
2004-03-18,6.0,0.7,68.0,Thursday,March
2004-03-18,7.0,1.5,139.0,Thursday,March
2004-03-18,8.0,4.7,339.0,Thursday,March
2004-03-18,9.0,6.6,421.0,Thursday,March
2004-03-18,10.0,4.5,349.0,Thursday,March
2004-03-18,11.0,2.8,224.0,Thursday,March
2004-03-18,12.0,2.2,171.0,Thursday,March
2004-03-18,13.0,2.2,149.0,Thursday,March
2004-03-18,14.0,2.3,137.0,Thursday,March
2004-03-18,15.0,2.2,149.0,Thursday,March
2004-03-18,16.0,2.8,172.0,Thursday,March
2004-03-18,17.0,2.7,166.0,Thursday,March
2004-03-18,18.0,3.7,214.0,Thursday,March
2004-03-18,19.0,5.1,280.0,Thursday,March
2004-03-18,20.0,5.1,276.0,Thursday,March
2004-03-18,21.0,3.2,178.0,Thursday,March
2004-03-18,22.0,2.1,129.0,Thursday,March
2004-03-18,23.0,1.7,95.0,Thursday,March
2004-03-19,0.0,2.0,126.0,Friday,March
2004-03-19,1.0,1.6,103.0,Friday,March
2004-03-19,2.0,0.9,48.0,Friday,March
2004-03-19,5.0,0.5,18.0,Friday,March
2004-03-19,6.0,0.7,56.0,Friday,March
2004-03-19,7.0,1.5,115.0,Friday,March
2004-03-19,8.0,4.8,320.0,Friday,March
2004-03-19,9.0,6.2,357.0,Friday,March
2004-03-19,10.0,4.0,253.0,Friday,March
2004-03-19,11.0,3.3,218.0,Friday,March
2004-03-19,12.0,2.8,192.0,Friday,March
2004-03-19,13.0,3.0,176.0,Friday,March
2004-03-19,14.0,3.3,198.0,Friday,March
2004-03-19,15.0,3.5,212.0,Friday,March
2004-03-19,16.0,4.0,249.0,Friday,March
2004-03-19,17.0,4.6,270.0,Friday,March
2004-03-19,18.0,4.1,231.0,Friday,March
2004-03-19,19.0,4.5,251.0,Friday,March
2004-03-19,20.0,3.9,210.0,Friday,March
2004-03-19,21.0,4.0,249.0,Friday,March
2004-03-19,22.0,2.2,143.0,Friday,March
2004-03-19,23.0,2.1,127.0,Friday,March
2004-03-20,0.0,1.7,104.0,Saturday,March
2004-03-20,1.0,1.6,86.0,Saturday,March
2004-03-20,2.0,1.3,74.0,Saturday,March
2004-03-20,5.0,0.8,42.0,Saturday,March
2004-03-20,6.0,0.8,63.0,Saturday,March
2004-03-20,7.0,1.1,115.0,Saturday,March
2004-03-20,8.0,2.1,170.0,Saturday,March
2004-03-20,9.0,2.4,147.0,Saturday,March
2004-03-20,10.0,2.6,166.0,Saturday,March
2004-03-20,11.0,2.8,195.0,Saturday,March
2004-03-20,12.0,2.6,182.0,Saturday,March
2004-03-20,13.0,2.6,168.0,Saturday,March
2004-03-20,14.0,2.1,125.0,Saturday,March
2004-03-20,15.0,1.7,95.0,Saturday,March
2004-03-20,16.0,1.6,79.0,Saturday,March
2004-03-20,17.0,2.1,119.0,Saturday,March
2004-03-20,18.0,2.3,142.0,Saturday,March
2004-03-20,19.0,3.5,215.0,Saturday,March
2004-03-20,20.0,3.9,229.0,Saturday,March
2004-03-20,21.0,3.3,206.0,Saturday,March
2004-03-20,22.0,2.3,147.0,Saturday,March
2004-03-20,23.0,2.1,122.0,Saturday,March
2004-03-21,0.0,2.8,175.0,Sunday,March
2004-03-21,1.0,2.1,133.0,Sunday,March
2004-03-21,2.0,1.6,89.0,Sunday,March
2004-03-21,5.0,1.1,55.0,Sunday,March
2004-03-21,6.0,0.7,24.0,Sunday,March
2004-03-21,7.0,0.8,72.0,Sunday,March
2004-03-21,8.0,1.2,122.0,Sunday,March
2004-03-21,9.0,1.4,111.0,Sunday,March
2004-03-21,10.0,1.7,123.0,Sunday,March
2004-03-21,11.0,1.8,106.0,Sunday,March
2004-03-21,12.0,1.8,103.0,Sunday,March
2004-03-21,13.0,1.9,102.0,Sunday,March
2004-03-21,14.0,1.3,48.0,Sunday,March
2004-03-21,15.0,1.6,63.0,Sunday,March
2004-03-21,16.0,1.9,98.0,Sunday,March
2004-03-21,17.0,2.3,132.0,Sunday,March
2004-03-21,18.0,3.8,173.0,Sunday,March
